idade;evasao;genero_id;estado_civil_id;formacao_id;departamento_id;salario;cargo_id;tempo_trabalho;quantidade_empresas_trabalhou;quantidade_anos_trabalhados_anteriormente;nivel_escolaridade_id;aumento_percentual_do_salario;distancia_de_casa;anos_com_o_atual_gestor;anos_na_empresa;cpf;satisfacao_trabalho
41;Sim;2;2;5;6;5993;5;4;8;8;6;11;1;5;6;77627114367;4
49;Não;3;3;5;5;5130;6;7;1;10;4;23;8;7;10;10985367177;2
37;Sim;3;2;9;5;2090;7;0;6;7;6;15;2;0;0;38458610573;3
33;Não;2;3;5;5;2909;6;7;1;8;9;11;3;0;8;95259724396;3
27;Não;3;3;6;5;3468;7;2;9;6;4;12;2;2;2;75098503248;2
32;Não;3;2;5;5;3068;7;7;0;8;6;13;2;6;7;28575615593;4
59;Não;2;3;6;5;2670;7;0;4;12;8;20;3;0;1;92967802618;1
30;Não;3;5;5;5;2693;7;0;1;1;4;22;24;0;1;88040433827;3
38;Não;3;2;5;5;9526;8;7;0;10;8;21;23;8;9;3911858052;3
36;Não;3;3;6;5;5237;9;7;6;17;8;13;27;7;7;16176692277;3
35;Não;3;3;6;5;2426;7;4;0;6;8;13;16;3;5;38910374737;2
29;Não;2;2;5;5;4193;7;5;0;10;6;12;15;8;9;72368271854;3
31;Não;3;5;5;5;2911;6;2;1;5;4;17;26;3;5;64935138110;3
34;Não;3;5;6;5;2661;7;2;0;3;6;11;19;2;2;48693642132;4
28;Sim;3;2;5;5;2028;7;2;5;6;8;14;24;3;4;84765633502;3
29;Não;2;5;5;5;9980;8;9;1;10;9;11;21;8;10;86934708731;1
32;Não;3;5;5;5;3298;6;2;0;7;6;12;5;5;6;1435868069;2
22;Não;3;5;6;5;2935;7;0;1;1;6;13;16;0;1;90712403447;4
53;Não;2;3;5;6;15427;4;8;2;31;9;16;2;7;25;55522114315;4
38;Não;3;2;5;5;3944;6;2;5;6;8;11;2;2;3;16617073446;4
24;Não;2;5;9;5;4011;8;2;0;5;6;18;11;3;4;38529372253;3
36;Sim;3;2;5;6;3407;9;3;7;10;9;23;9;3;5;300722110;1
34;Não;2;2;5;5;11994;11;6;0;13;9;11;7;11;12;80837551924;2
21;Não;3;2;5;5;1232;6;0;1;0;6;14;15;0;0;26396188650;4
