idade;evasao;genero_id;estado_civil_id;formacao_id;departamento_id;faixa_salarial_id;cargo_id;tempo_trabalho;quantidade_empresas_trabalhou;quantidade_anos_trabalhados_anteriormente;faculdade_id;aumento_percentual_do_salario;distancia_de_casa;anos_com_o_atual_gestor;anos_na_empresa;cpf
41;Sim;0;0;0;1;11;0;4;8;8;2;11;1;5;6;77627114367
49;Não;1;2;0;0;10;1;7;1;10;3;23;8;7;10;10985367177
37;Sim;1;0;4;0;4;2;0;6;7;2;15;2;0;0;38458610573
33;Não;0;2;0;0;5;1;7;1;8;1;11;3;0;8;95259724396
27;Não;1;2;1;0;6;2;2;9;6;3;12;2;2;2;75098503248
32;Não;1;0;0;0;6;2;7;0;8;2;13;2;6;7;28575615593
59;Não;0;2;1;0;5;2;0;4;12;0;20;3;0;1;92967802618
30;Não;1;1;0;0;5;2;0;1;1;3;22;24;0;1;88040433827
38;Não;1;0;0;0;19;3;7;0;10;0;21;23;8;9;3911858052
36;Não;1;2;1;0;10;4;7;6;17;0;13;27;7;7;16176692277
35;Não;1;2;1;0;4;2;4;0;6;0;13;16;3;5;38910374737
29;Não;0;0;0;0;8;2;5;0;10;2;12;15;8;9;72368271854
31;Não;1;1;0;0;5;1;2;1;5;3;17;26;3;5;64935138110
34;Não;1;1;1;0;5;2;2;0;3;2;11;19;2;2;48693642132
28;Sim;1;0;0;0;4;2;2;5;6;0;14;24;3;4;84765633502
29;Não;0;1;0;0;19;3;9;1;10;1;11;21;8;10;86934708731
32;Não;1;1;0;0;6;1;2;0;7;2;12;5;5;6;1435868069
22;Não;1;1;1;0;5;2;0;1;1;2;13;16;0;1;90712403447
53;Não;0;2;0;1;30;5;8;2;31;1;16;2;7;25;55522114315
38;Não;1;0;0;0;7;1;2;5;6;0;11;2;2;3;16617073446
24;Não;0;1;4;0;8;3;2;0;5;2;18;11;3;4;38529372253
36;Sim;1;0;0;1;6;6;3;7;10;1;23;9;3;5;300722110
34;Não;0;0;0;0;23;7;6;0;13;1;11;7;11;12;80837551924
21;Não;1;0;0;0;2;1;0;1;0;2;14;15;0;0;26396188650
34;Sim;1;0;1;0;5;1;2;2;8;3;11;6;3;4;47255735506
53;Não;0;1;4;0;30;5;13;4;26;0;11;5;8;14;30611969517
32;Sim;0;0;0;0;7;1;2;1;10;3;22;16;7;10;76540352486
42;Não;1;2;2;1;13;0;7;0;10;1;11;8;2;9;52417073574
44;Não;0;2;1;0;20;4;6;3;24;1;14;7;17;22;39045324980
46;Não;0;0;2;1;30;5;2;3;22;1;12;2;1;2;40877645232
33;Não;1;0;1;0;4;2;1;4;7;0;11;2;0;1;83512432626
44;Não;1;2;4;0;12;4;2;2;9;1;13;10;3;4;17550502140
30;Não;1;0;1;0;4;2;0;1;10;2;13;9;8;10;81652275561
39;Sim;1;2;3;1;4;6;0;3;19;0;14;5;0;1;7814437701
24;Sim;1;2;1;0;4;1;0;2;6;0;16;1;0;2;66406667817
43;Não;0;1;1;0;5;1;3;1;6;2;12;2;4;5;18560990939
50;Sim;1;2;2;1;5;6;2;1;3;2;14;3;2;3;48880122952
35;Não;0;2;2;1;4;6;2;1;2;0;13;2;2;2;5509565941
36;Não;0;2;0;0;6;1;1;9;6;1;14;5;0;1;39547615712
33;Não;0;2;0;1;10;0;3;2;10;0;19;1;3;5;12562273272
35;Não;1;1;4;0;3;2;0;1;1;2;12;4;0;1;25286355121
27;Não;0;1;0;0;4;2;0;1;1;1;13;2;0;1;31236392488
26;Sim;1;0;0;0;4;2;0;1;1;0;12;25;1;1;47444821918
27;Não;1;0;0;1;17;0;8;1;9;0;15;8;7;9;70559415946
30;Não;0;0;1;0;8;2;8;1;12;2;23;1;7;12;17719769987
41;Sim;0;2;3;0;30;7;15;1;23;0;12;12;8;22;79389555732
34;Não;1;0;2;1;9;0;5;0;10;1;20;23;7;9;96366630121
37;Não;1;2;0;0;6;1;0;4;8;2;21;19;0;1;62817423452
46;Não;1;0;2;1;11;0;6;4;14;1;21;5;8;9;12058079857
35;Não;1;2;0;0;4;2;0;1;1;3;19;8;1;1;72284259132
48;Sim;1;0;0;0;10;2;0;9;23;2;13;1;0;1;49716871127
28;Sim;1;0;3;0;6;2;2;1;2;1;13;5;2;2;7842142063
44;Não;0;1;2;1;10;0;3;5;9;4;21;1;3;4;2989550317
35;Não;1;2;1;0;19;4;0;2;10;2;13;11;3;4;8724466707
26;Não;0;2;2;1;8;0;2;7;5;0;19;23;0;2;38750996183
33;Não;0;0;0;0;26;7;14;1;15;2;12;1;12;15;35055889609
35;Não;1;2;0;1;18;0;8;1;9;4;22;18;8;9;36094394192
35;Não;0;2;1;0;8;2;2;3;4;1;15;23;2;2;18270348079
31;Não;1;1;0;0;11;2;7;3;10;1;22;7;7;7;78715087977
37;Não;1;1;0;0;11;3;5;1;7;1;18;1;7;7;60099359815
32;Não;1;2;1;0;12;3;8;1;9;0;22;1;8;9;17189773636
38;Não;0;0;0;0;4;2;3;1;10;4;11;29;9;10;51598855376
50;Não;0;1;1;0;30;7;3;5;29;2;12;7;8;27;61423700661
59;Não;0;0;0;1;15;0;16;7;28;0;11;25;9;21;43634435493
36;Não;0;1;3;0;20;4;14;1;17;0;13;8;8;17;1914664
55;Não;0;1;1;0;29;5;0;2;21;0;14;8;2;5;33291092710
